Лаб. № пробы,Наименование выработки,"Глубина отбора образца, м",Наименование грунта,№ ИГЭ/РГЭ,rs,r,rd,n,e,W,Sr,WL,WP,Ip,IL,Ir,Е50,E,Мю,Cu,Цикл промораживания,Kd,Cud
3-38,3,14.8,Супесь твёрдая,58д_4,2.69,1.91,1.47,45.5,0.83,30.2,0.97,29.0,23.1,5.9,1.2,,1.9,2.1,0.35,0.01,10,0.58,0.005
3-38,3,14.8,Супесь твёрдая,58д_4,2.69,1.91,1.46,45.6,0.84,30.6,0.98,29.0,23.1,5.9,1.28,,1.1,1.2,0.35,0.008,24,0.58,0.005
3-4,3,6.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,0,,
3-4,3,6.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,3,,
3-4,3,6.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,5,,
3-4,3,6.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,10,,
3-4,3,6.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,24,,
3-5,3,6.8,Глина тугопластичная,22а_1с_г.д,2.71,1.84,1.34,50.4,1.02,36.8,0.98,52.4,27.5,24.9,0.37,,,,,,0,0.72,0.012
3-5,3,6.8,Глина тугопластичная,22а_1с_г.д,,,,,,,,,,,,,,,,,3,0.72,0.012
3-5,3,6.8,Глина тугопластичная,22а_1с_г.д,,,,,,,,,,,,,,,,,5,0.72,0.012
3-5,3,6.8,Глина тугопластичная,22а_1с_г.д,2.71,1.74,1.2,55.7,1.26,44.8,0.97,52.4,27.5,24.9,0.69,,,,,,10,0.72,0.012
3-5,3,6.8,Глина тугопластичная,22а_1с_г.д,2.71,1.76,1.21,55.2,1.23,45.0,0.99,52.4,27.5,24.9,0.7,,,,,,24,0.72,0.012
3-6,3,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,0,,
3-6,3,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,,
3-6,3,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,,
3-6,3,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,10,,
3-6,3,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,24,,
3-7,3,9.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,0,,
3-7,3,9.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,3,,
3-7,3,9.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,5,,
3-7,3,9.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,10,,
3-7,3,9.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,24,,
3-8,3,11.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,0,,
3-8,3,11.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,3,,
3-8,3,11.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,5,,
3-8,3,11.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,10,,
3-8,3,11.4,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,24,,
3-9,3,14.4,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,0,,
3-9,3,14.4,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,3,,
3-9,3,14.4,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,5,,
3-9,3,14.4,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,10,,
3-9,3,14.4,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,24,,
4-1,4,0.8,Глина твёрдая с примесью органического вещества,1a_t,2.74,1.88,1.39,49.3,0.97,35.1,0.99,59.3,33.2,26.1,0.07,6.7,,,,,0,,
4-1,4,0.8,Глина твёрдая с примесью органического вещества,1a_t,,,,,,,,,,,,,,,,,3,,
4-1,4,0.8,Глина твёрдая с примесью органического вещества,1a_t,,,,,,,,,,,,,,,,,5,,
4-1,4,0.8,Глина твёрдая с примесью органического вещества,1a_t,,,,,,,,,,,,,,,,,10,,
4-1,4,0.8,Глина твёрдая с примесью органического вещества,1a_t,,,,,,,,,,,,,,,,,24,,
4-10,4,29.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
4-10,4,29.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
4-10,4,29.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
4-10,4,29.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
4-10,4,29.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
4-11,4,11.8,Глина тугопластичная,22а_1с_г.д,2.74,1.96,1.51,45.0,0.82,29.9,1.0,43.8,24.2,19.6,0.29,,,,,,0,,
4-11,4,11.8,Глина тугопластичная,22а_1с_г.д,,,,,,,,,,,,,,,,,3,,
4-11,4,11.8,Глина тугопластичная,22а_1с_г.д,,,,,,,,,,,,,,,,,5,,
4-11,4,11.8,Глина тугопластичная,22а_1с_г.д,,,,,,,,,,,,,,,,,10,,
4-11,4,11.8,Глина тугопластичная,22а_1с_г.д,,,,,,,,,,,,,,,,,24,,
4-2,4,4.8,Суглинок полутвёрдый,21а_1с,2.75,2.01,1.58,42.5,0.74,26.8,1.0,38.1,23.9,14.2,0.2,,,,,,0,0.76,0.016
4-2,4,4.8,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,3,0.76,0.016
4-2,4,4.8,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,5,0.76,0.016
4-2,4,4.8,Суглинок полутвёрдый,21а_1с,2.75,1.88,1.39,49.4,0.98,35.2,0.99,38.1,23.9,14.2,0.8,,,,,,10,0.76,0.016
4-2,4,4.8,Суглинок полутвёрдый,21а_1с,2.75,1.88,1.39,49.6,0.98,35.5,0.99,38.1,23.9,14.2,0.81,,,,,,24,0.76,0.016
4-21,4,15.2,Супесь текучая,1д_1д.1,,,,,,,,,,,,,,,,,0,,
4-21,4,15.2,Супесь текучая,1д_1д.1,,,,,,,,,,,,,,,,,3,,
4-21,4,15.2,Супесь текучая,1д_1д.1,,,,,,,,,,,,,,,,,5,,
4-21,4,15.2,Супесь текучая,1д_1д.1,,,,,,,,,,,,,,,,,10,,
4-21,4,15.2,Супесь текучая,1д_1д.1,,,,,,,,,,,,,,,,,24,,
4-3,4,5.8,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,0,,
4-3,4,5.8,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,3,,
4-3,4,5.8,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,5,,
4-3,4,5.8,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,10,,
4-3,4,5.8,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,24,,
4-4,4,8.8,Суглинок полутвёрдый,21а_1с,2.72,2.05,1.67,38.7,0.63,22.9,0.99,34.0,20.5,13.5,0.18,,,,,,0,,
4-4,4,8.8,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,3,,
4-4,4,8.8,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,5,,
4-4,4,8.8,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,10,,
4-4,4,8.8,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,24,,
4-5,4,10.8,Суглинок тугопластичный,21а_1с,,,,,,,,,,,,,,,,,0,,
4-5,4,10.8,Суглинок тугопластичный,21а_1с,,,,,,,,,,,,,,,,,3,,
4-5,4,10.8,Суглинок тугопластичный,21а_1с,,,,,,,,,,,,,,,,,5,,
4-5,4,10.8,Суглинок тугопластичный,21а_1с,,,,,,,,,,,,,,,,,10,,
4-5,4,10.8,Суглинок тугопластичный,21а_1с,,,,,,,,,,,,,,,,,24,,
4-6,4,14.8,Глина тугопластичная,22а_1с_г.д,,,,,,,,,,,,,,,,,0,,
4-6,4,14.8,Глина тугопластичная,22а_1с_г.д,,,,,,,,,,,,,,,,,3,,
4-6,4,14.8,Глина тугопластичная,22а_1с_г.д,,,,,,,,,,,,,,,,,5,,
4-6,4,14.8,Глина тугопластичная,22а_1с_г.д,,,,,,,,,,,,,,,,,10,,
4-6,4,14.8,Глина тугопластичная,22а_1с_г.д,,,,,,,,,,,,,,,,,24,,
4-7,4,15.4,Глина полутвёрдая,25_1,2.72,2.03,1.64,39.7,0.66,23.5,0.97,42.1,22.9,19.2,0.03,,,,,,0,,
4-7,4,15.4,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,,
4-7,4,15.4,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,,
4-7,4,15.4,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,10,,
4-7,4,15.4,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,24,,
4-8,4,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
4-8,4,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
4-8,4,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
4-8,4,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
4-8,4,19.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
4-9,4,26.8,Глина полутвёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
4-9,4,26.8,Глина полутвёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
4-9,4,26.8,Глина полутвёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
4-9,4,26.8,Глина полутвёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
4-9,4,26.8,Глина полутвёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
5-1,5,0.8,Глина твёрдая,25_1,2.72,2.02,1.63,40.2,0.67,23.9,0.97,42.9,24.3,18.6,-0.02,,15.9,15.9,0.22,0.09,0,,
5-1,5,0.8,Глина твёрдая,25_1,2.72,1.96,1.52,44.1,0.79,28.8,0.99,42.9,24.3,18.6,0.24,,13.2,15.2,0.33,0.068,3,,
5-1,5,0.8,Глина твёрдая,25_1,2.72,1.93,1.47,45.9,0.85,31.1,1.0,42.9,24.3,18.6,0.37,,8.8,10.3,0.38,0.043,5,,
5-1,5,0.8,Глина твёрдая,25_1,2.72,1.92,1.47,46.0,0.85,30.8,0.98,42.9,24.3,18.6,0.35,,8.7,9.9,0.37,0.044,10,,
5-1,5,0.8,Глина твёрдая,25_1,2.72,1.9,1.44,47.0,0.89,32.0,0.98,42.9,24.3,18.6,0.41,,8.2,8.8,0.36,0.031,24,,
5-10,5,34.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
5-10,5,34.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
5-10,5,34.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
5-10,5,34.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
5-10,5,34.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
5-11,5,16.8,Глина тугопластичная,58_3г,2.74,1.85,1.35,50.6,1.02,37.0,0.99,49.7,29.1,20.6,0.38,,8.8,8.8,0.37,0.049,0,0.78,0.022
5-11,5,16.8,Глина тугопластичная,58_3г,2.74,1.83,1.32,51.7,1.07,38.4,0.98,49.7,29.1,20.6,0.45,,8.6,9.2,0.42,0.042,3,0.78,0.022
5-11,5,16.8,Глина тугопластичная,58_3г,2.74,1.81,1.3,52.5,1.11,39.2,0.97,49.7,29.1,20.6,0.49,,5.8,6.0,0.4,0.028,5,0.78,0.022
5-11,5,16.8,Глина тугопластичная,58_3г,2.74,1.79,1.27,53.6,1.15,40.7,0.97,49.7,29.1,20.6,0.56,,5.7,6.1,0.37,0.028,10,0.78,0.022
5-11,5,16.8,Глина тугопластичная,58_3г,2.74,1.8,1.27,53.6,1.16,41.7,0.99,49.7,29.1,20.6,0.61,,4.9,5.2,0.39,0.024,24,0.78,0.022
5-12,5,12.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,0,,
5-12,5,12.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,3,,
5-12,5,12.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,5,,
5-12,5,12.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,10,,
5-12,5,12.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,24,,
5-13,5,13.8,Суглинок текучепластичный,58д_2е,2.72,1.92,1.46,46.5,0.87,31.9,1.0,33.1,20.6,12.5,0.9,,,,,,0,,
5-13,5,13.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,3,,
5-13,5,13.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,5,,
5-13,5,13.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,10,,
5-13,5,13.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,24,,
5-14,5,15.8,Суглинок текучепластичный,58д_2е,2.73,1.93,1.47,46.0,0.85,30.9,0.99,32.5,18.9,13.6,0.89,,,,,,0,,
5-14,5,15.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,3,,
5-14,5,15.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,5,,
5-14,5,15.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,10,,
5-14,5,15.8,Суглинок текучепластичный,58д_2е,,,,,,,,,,,,,,,,,24,,
5-2,5,3.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,0,,
5-2,5,3.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,,
5-2,5,3.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,,
5-2,5,3.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,10,,
5-2,5,3.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,24,,
5-3,5,6.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,0,,
5-3,5,6.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,3,,
5-3,5,6.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,5,,
5-3,5,6.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,10,,
5-3,5,6.8,Глина твёрдая,25_1,,,,,,,,,,,,,,,,,24,,
5-4,5,7.8,Глина твёрдая,58_3б,2.72,1.9,1.44,47.2,0.89,32.5,0.99,53.9,31.1,22.8,0.06,,,,,,0,,
5-4,5,7.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,3,,
5-4,5,7.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,5,,
5-4,5,7.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,10,,
5-4,5,7.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,24,,
5-5,5,8.8,Глина твёрдая,58_3б,2.75,1.94,1.47,46.4,0.87,31.5,1.0,53.4,30.6,22.8,0.04,,,,,,0,0.81,0.021
5-5,5,8.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,3,0.81,0.021
5-5,5,8.8,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,5,0.81,0.021
5-5,5,8.8,Глина твёрдая,58_3б,2.75,1.82,1.3,52.7,1.12,40.0,0.99,53.4,30.6,22.8,0.41,,,,,,10,0.81,0.021
5-5,5,8.8,Глина твёрдая,58_3б,2.75,1.82,1.3,52.7,1.12,40.0,0.99,53.4,30.6,22.8,0.41,,,,,,24,0.81,0.021
5-6,5,10.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
5-6,5,10.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
5-6,5,10.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
5-6,5,10.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
5-6,5,10.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
5-7,5,14.8,Глина твёрдая,58_3в,2.75,2.01,1.61,41.6,0.71,25.4,0.98,53.6,30.3,23.3,-0.21,,22.5,22.5,0.29,0.148,0,,
5-7,5,14.8,Глина твёрдая,58_3в,2.75,1.91,1.44,47.6,0.91,32.5,0.98,53.6,30.3,23.3,0.09,,15.5,17.9,0.34,0.096,3,,
5-7,5,14.8,Глина твёрдая,58_3в,2.75,1.84,1.33,51.6,1.07,38.3,0.99,53.6,30.3,23.3,0.34,,7.6,8.3,0.37,0.04,5,,
5-7,5,14.8,Глина твёрдая,58_3в,2.75,1.8,1.29,53.2,1.14,39.8,0.96,53.6,30.3,23.3,0.41,,7.5,8.0,0.39,0.039,10,,
5-7,5,14.8,Глина твёрдая,58_3в,2.75,1.8,1.27,53.8,1.16,41.8,0.99,53.6,30.3,23.3,0.49,,6.3,6.4,0.34,0.025,24,,
5-8,5,17.8,Глина твёрдая,58_3в,2.74,2.04,1.64,40.3,0.67,24.4,0.99,49.7,28.2,21.5,-0.18,,23.9,23.9,0.29,0.152,0,,
5-8,5,17.8,Глина твёрдая,58_3в,2.74,1.94,1.49,45.6,0.84,30.2,0.99,49.7,28.2,21.5,0.09,,17.6,19.6,0.36,0.106,3,,
5-8,5,17.8,Глина твёрдая,58_3в,2.74,1.84,1.35,50.8,1.03,36.6,0.97,49.7,28.2,21.5,0.39,,7.0,7.4,0.34,0.036,5,,
5-8,5,17.8,Глина твёрдая,58_3в,2.74,1.82,1.31,52.2,1.09,39.1,0.98,49.7,28.2,21.5,0.51,,7.0,7.4,0.42,0.036,10,,
5-8,5,17.8,Глина твёрдая,58_3в,2.74,1.81,1.28,53.2,1.13,41.2,0.99,49.7,28.2,21.5,0.6,,5.7,6.4,0.37,0.026,24,,
5-9,5,31.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
5-9,5,31.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
5-9,5,31.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
5-9,5,31.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
5-9,5,31.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
6-1,6,1.4,Глина полутвёрдая,25_1,2.73,1.9,1.44,47.4,0.9,32.3,0.98,51.5,26.4,25.1,0.24,,,,,,0,0.86,0.026
6-1,6,1.4,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,0.86,0.026
6-1,6,1.4,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,0.86,0.026
6-1,6,1.4,Глина полутвёрдая,25_1,2.73,1.83,1.33,51.2,1.05,37.4,0.97,51.5,26.4,25.1,0.44,,,,,,10,0.86,0.026
6-1,6,1.4,Глина полутвёрдая,25_1,2.73,1.83,1.33,51.3,1.05,37.9,0.98,51.5,26.4,25.1,0.46,,,,,,24,0.86,0.026
6-10,6,13.4,Суглинок полутвёрдый,21а_1с,2.7,2.06,1.71,36.7,0.58,20.8,0.97,31.9,19.4,12.5,0.11,,,,,,0,,
6-10,6,13.4,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,3,,
6-10,6,13.4,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,5,,
6-10,6,13.4,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,10,,
6-10,6,13.4,Суглинок полутвёрдый,21а_1с,,,,,,,,,,,,,,,,,24,,
6-11,6,14.8,Суглинок твёрдый,58г_2б,2.73,1.98,1.56,42.9,0.75,27.3,0.99,40.8,26.4,14.4,0.06,,,,,,0,,
6-11,6,14.8,Суглинок твёрдый,58г_2б,,,,,,,,,,,,,,,,,3,,
6-11,6,14.8,Суглинок твёрдый,58г_2б,,,,,,,,,,,,,,,,,5,,
6-11,6,14.8,Суглинок твёрдый,58г_2б,,,,,,,,,,,,,,,,,10,,
6-11,6,14.8,Суглинок твёрдый,58г_2б,,,,,,,,,,,,,,,,,24,,
6-12,6,17.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
6-12,6,17.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
6-12,6,17.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
6-12,6,17.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
6-12,6,17.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
6-13,6,20.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
6-13,6,20.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
6-13,6,20.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
6-13,6,20.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
6-13,6,20.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
6-14,6,23.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,0,,
6-14,6,23.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,3,,
6-14,6,23.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,5,,
6-14,6,23.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,10,,
6-14,6,23.8,Глина твёрдая,58_3а,,,,,,,,,,,,,,,,,24,,
6-15,6,24.4,Глина твёрдая,58_3б,2.74,1.91,1.44,47.4,0.9,32.6,0.99,56.6,32.2,24.4,0.01,,,,,,0,0.82,0.02
6-15,6,24.4,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,3,0.82,0.02
6-15,6,24.4,Глина твёрдая,58_3б,,,,,,,,,,,,,,,,,5,0.82,0.02
6-15,6,24.4,Глина твёрдая,58_3б,2.74,1.79,1.26,54.0,1.17,41.9,0.98,56.6,32.2,24.4,0.4,,,,,,10,0.82,0.02
6-15,6,24.4,Глина твёрдая,58_3б,2.74,1.8,1.26,53.9,1.17,42.3,0.99,56.6,32.2,24.4,0.41,,,,,,24,0.82,0.02
6-16,6,12.4,Супесь текучая,1д_1д.1,2.68,1.95,1.52,43.3,0.76,28.4,1.0,27.9,22.1,5.8,1.09,,,,,,0,,
6-16,6,12.4,Супесь текучая,1д_1д.1,,,,,,,,,,,,,,,,,3,,
6-16,6,12.4,Супесь текучая,1д_1д.1,,,,,,,,,,,,,,,,,5,,
6-16,6,12.4,Супесь текучая,1д_1д.1,,,,,,,,,,,,,,,,,10,,
6-16,6,12.4,Супесь текучая,1д_1д.1,,,,,,,,,,,,,,,,,24,,
6-17,6,14.4,Супесь текучая,1д_1д.1,2.67,1.94,1.51,43.6,0.77,29.0,1.0,27.7,21.4,6.3,1.2,,,,,,0,,
6-17,6,14.4,Супесь текучая,1д_1д.1,,,,,,,,,,,,,,,,,3,,
6-17,6,14.4,Супесь текучая,1д_1д.1,,,,,,,,,,,,,,,,,5,,
6-17,6,14.4,Супесь текучая,1д_1д.1,,,,,,,,,,,,,,,,,10,,
6-17,6,14.4,Супесь текучая,1д_1д.1,,,,,,,,,,,,,,,,,24,,
6-18,6,15.4,Супесь твёрдая,58д_4,2.67,1.95,1.52,43.1,0.76,28.3,1.0,28.6,23.1,5.5,0.95,,6.2,6.2,0.31,0.024,0,0.6,0.004
6-18,6,15.4,Супесь твёрдая,58д_4,2.67,1.92,1.48,44.5,0.8,29.6,0.99,28.6,23.1,5.5,1.18,,3.2,3.5,0.35,0.012,3,0.6,0.004
6-18,6,15.4,Супесь твёрдая,58д_4,2.67,1.9,1.46,45.4,0.83,30.3,0.97,28.6,23.1,5.5,1.31,,1.6,1.7,0.35,0.01,5,0.6,0.004
6-18,6,15.4,Супесь твёрдая,58д_4,2.67,1.89,1.45,45.8,0.84,30.6,0.97,28.6,23.1,5.5,1.36,,1.6,1.7,0.34,0.01,10,0.6,0.004
6-18,6,15.4,Супесь твёрдая,58д_4,2.67,1.9,1.45,45.9,0.85,31.2,0.98,28.6,23.1,5.5,1.48,,1.2,1.3,0.3,0.006,24,0.6,0.004
6-2,6,4.4,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,0,,
6-2,6,4.4,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,,
6-2,6,4.4,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,,
6-2,6,4.4,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,10,,
6-2,6,4.4,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,24,,
6-3,6,5.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,0,,
6-3,6,5.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,,
6-3,6,5.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,,
6-3,6,5.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,10,,
6-3,6,5.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,24,,
6-4,6,6.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,0,,
6-4,6,6.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,,
6-4,6,6.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,,
6-4,6,6.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,10,,
6-4,6,6.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,24,,
6-5,6,7.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,0,,
6-5,6,7.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,,
6-5,6,7.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,,
6-5,6,7.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,10,,
6-5,6,7.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,24,,
6-6,6,8.4,Глина тугопластичная,22а_1с_г.д,2.73,1.86,1.36,50.1,1.01,36.8,1.0,53.7,27.6,26.1,0.35,,,,,,0,0.59,0.012
6-6,6,8.4,Глина тугопластичная,22а_1с_г.д,,,,,,,,,,,,,,,,,3,0.59,0.012
6-6,6,8.4,Глина тугопластичная,22а_1с_г.д,,,,,,,,,,,,,,,,,5,0.59,0.012
6-6,6,8.4,Глина тугопластичная,22а_1с_г.д,2.73,1.74,1.19,56.4,1.29,46.1,0.97,53.7,27.6,26.1,0.71,,,,,,10,0.59,0.012
6-6,6,8.4,Глина тугопластичная,22а_1с_г.д,2.73,1.74,1.18,56.9,1.32,47.5,0.98,53.7,27.6,26.1,0.76,,,,,,24,0.59,0.012
6-7,6,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,0,,
6-7,6,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,,
6-7,6,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,,
6-7,6,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,10,,
6-7,6,8.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,24,,
6-8,6,9.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,0,,
6-8,6,9.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,3,,
6-8,6,9.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,5,,
6-8,6,9.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,10,,
6-8,6,9.8,Глина полутвёрдая,25_1,,,,,,,,,,,,,,,,,24,,
6-9,6,11.4,Суглинок полутвёрдый,21а_1с,2.72,2.04,1.65,39.5,0.65,23.7,0.99,32.3,20.1,12.2,0.3,,,,,,0,,
